EXIOBASE sector,SCAF sector
Cultivation of paddy rice,Composite
Cultivation of wheat,Composite
Cultivation of cereal grains nec,Composite
"Cultivation of vegetables, fruit, nuts",Composite
Cultivation of oil seeds,Composite
"Cultivation of sugar cane, sugar beet",Composite
Cultivation of plant-based fibers,Composite
Cultivation of crops nec,Composite
Cattle farming,Composite
Pigs farming,Composite
Poultry farming,Composite
Meat animals nec,Composite
Animal products nec,Composite
Raw milk,Composite
"Wool, silk-worm cocoons",Composite
"Manure treatment (conventional), storage and land application",Composite
"Manure treatment (biogas), storage and land application",Composite
"Forestry, logging and related service activities (02)",Composite
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Composite
Mining of coal and lignite; extraction of peat (10),Composite
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",Composite
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",Composite
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",Composite
Mining of uranium and thorium ores (12),Composite
Mining of iron ores,Composite
Mining of copper ores and concentrates,Composite
Mining of nickel ores and concentrates,Composite
Mining of aluminium ores and concentrates,Composite
Mining of precious metal ores and concentrates,Composite
"Mining of lead, zinc and tin ores and concentrates",Composite
Mining of other non-ferrous metal ores and concentrates,Composite
Quarrying of stone,Composite
Quarrying of sand and clay,Composite
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Composite
Processing of meat cattle,Composite
Processing of meat pigs,Composite
Processing of meat poultry,Composite
Production of meat products nec,Composite
Processing vegetable oils and fats,Composite
Processing of dairy products,Composite
Processed rice,Composite
Sugar refining,Composite
Processing of Food products nec,Composite
Manufacture of beverages,Composite
Manufacture of fish products,Composite
Manufacture of tobacco products (16),Composite
Manufacture of textiles (17),Composite
Manufacture of wearing apparel; dressing and dyeing of fur (18),Composite
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Composite
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Composite
Re-processing of secondary wood material into new wood material,Composite
Pulp,Composite
Re-processing of secondary paper into new pulp,Composite
Paper,Composite
"Publishing, printing and reproduction of recorded media (22)",Composite
Manufacture of coke oven products,Composite
Petroleum Refinery,Composite
Processing of nuclear fuel,Composite
"Plastics, basic",Composite
Re-processing of secondary plastic into new plastic,Composite
N-fertiliser,Composite
P- and other fertiliser,Composite
Chemicals nec,Composite
Manufacture of rubber and plastic products (25),Composite
Manufacture of glass and glass products,Composite
Re-processing of secondary glass into new glass,Composite
Manufacture of ceramic goods,Composite
"Manufacture of bricks, tiles and construction products, in baked clay",Composite
"Manufacture of cement, lime and plaster",Composite
Re-processing of ash into clinker,Composite
Manufacture of other non-metallic mineral products n.e.c.,Composite
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Composite
Re-processing of secondary steel into new steel,Composite
Precious metals production,Composite
Re-processing of secondary preciuos metals into new preciuos metals,Composite
Aluminium production,Composite
Re-processing of secondary aluminium into new aluminium,Composite
"Lead, zinc and tin production",Composite
"Re-processing of secondary lead into new lead, zinc and tin",Composite
Copper production,Composite
Re-processing of secondary copper into new copper,Composite
Other non-ferrous metal production,Composite
Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,Composite
Casting of metals,Composite
"Manufacture of fabricated metal products, except machinery and equipment (28)",Composite
Manufacture of machinery and equipment n.e.c. (29),Equipment
Manufacture of office machinery and computers (30),Composite
Manufacture of electrical machinery and apparatus n.e.c. (31),Composite
"Manufacture of radio, television and communication equipment and apparatus (32)",Composite
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",Composite
"Manufacture of motor vehicles, trailers and semi-trailers (34)",Composite
Manufacture of other transport equipment (35),Composite
Manufacture of furniture; manufacturing n.e.c. (36),Composite
Recycling of waste and scrap,Composite
Recycling of bottles by direct reuse,Composite
Production of electricity by coal,Composite
Production of electricity by gas,Composite
Production of electricity by nuclear,Composite
Production of electricity by hydro,Composite
Production of electricity by wind,Composite
Production of electricity by petroleum and other oil derivatives,Composite
Production of electricity by biomass and waste,Composite
Production of electricity by solar photovoltaic,Composite
Production of electricity by solar thermal,Composite
"Production of electricity by tide, wave, ocean",Composite
Production of electricity by Geothermal,Composite
Production of electricity nec,Composite
Transmission of electricity,Composite
Distribution and trade of electricity,Composite
Manufacture of gas; distribution of gaseous fuels through mains,Composite
Steam and hot water supply,Composite
"Collection, purification and distribution of water (41)",Composite
Construction (45),Composite
Re-processing of secondary construction material into aggregates,Composite
