GLORIA sector,SCAF sector
Growing wheat,Composite
Growing maize,Composite
Growing cereals n.e.c,Composite
Growing leguminous crops and oil seeds,Composite
Growing rice,Composite
"Growing vegetables, roots, tubers",Composite
Growing sugar beet and cane,Composite
Growing tobacco,Composite
Growing fibre crops,Composite
Growing crops n.e.c.,Composite
Growing grapes,Composite
Growing fruits and nuts,Composite
"Growing beverage crops (coffee, tea etc)",Composite
"Growing spices, aromatic, drug and pharmaceutical crops",Composite
Seeds and plant propagation,Composite
Raising of cattle,Composite
Raising of sheep and goats,Composite
Raising of swine/pigs,Composite
Raising of poultry,Composite
Raising of animals n.e.c.; services to agriculture,Composite
Forestry and logging,Composite
Fishing,Composite
Crustaceans and molluscs,Composite
Hard coal,Composite
Lignite and peat,Composite
Petroleum extraction,Composite
Gas extraction,Composite
Iron ores,Composite
Uranium ores,Composite
Aluminium ore,Composite
Copper ores,Composite
Gold ores,Composite
Lead/zinc/silver ores,Composite
Nickel ores,Composite
Tin ores,Composite
Other non-ferrous ores,Composite
"Quarrying of stone, sand and clay",Composite
Chemical and fertilizer minerals,Composite
Extraction of salt,Composite
Mining and quarrying n.e.c.; services to mining,Composite
Beef meat,Composite
Sheep meat,Composite
Pork,Composite
Poultry meat,Composite
Other meat products,Composite
Fish products,Composite
Cereal products,Composite
Vegetable products,Composite
Fruit products,Composite
Food products and feeds n.e.c.,Composite
"Sugar refining; cocoa, chocolate and confectionery",Composite
Animal oils and fats,Composite
Vegetable oils and fats,Composite
Dairy products,Composite
Alcoholic and other  beverages,Composite
Tobacco products,Composite
Textiles and clothing,Composite
Leather and footwear,Composite
Sawmill products,Composite
Pulp and paper,Composite
Printing,Composite
Coke oven products,Composite
Refined petroleum products,Composite
Nitrogenous fertilizers,Composite
Non-nitrogenous and mixed fertilizers,Composite
Basic petrochemical products,Composite
Basic inorganic chemicals,Composite
Basic organic chemicals,Composite
Pharmaceuticals and medicinal products,Composite
"Dyes, paints, glues, detergents and other chemical products",Composite
Rubber products,Composite
Plastic products,Composite
Clay building materials,Composite
Glass and other ceramics n.e.c.,Composite
"Cement, lime and plaster products",Composite
Other non-metallic mineral products n.e.c.,Composite
Basic iron and steel,Composite
Basic aluminium,Composite
Basic Copper,Composite
Basic Gold,Composite
Basic lead/zinc/silver,Composite
Basic nickel,Composite
Basic tin,Composite
Basic non-ferrous metals n.e.c.,Composite
Fabricated metal products,Composite
Machinery and equipment,Equipment
"Motor vehicles, trailers and semi-trailers",Composite
Other transport equipment,Composite
Repair and installation of machinery and equipment (service),Composite
Computers; electronic products; optical and precision instruments,Composite
Electrical equipment,Composite
Furniture and other manufacturing n.e.c,Composite
"Electric power generation, transmission and distribution",Composite
Distribution of gaseous fuels through mains,Composite
"Water collection, treatment and supply; sewerage",Composite
"Waste collection, treatment, and disposal",Composite
Materials recovery,Composite
Building construction,Composite
Civil engineering construction,Composite
Wholesale and retail trade; repair of motor vehicles and motorcycles,Composite
Road transport,Composite
Rail transport,Composite
Transport via pipeline,Composite
Water transport,Composite
Air transport,Composite
Services to transport,Composite
Postal and courier services,Composite
Hospitality,Composite
Publishing,Composite
Telecommunications,Composite
Information services,Composite
Finance and insurance,Composite
Property and real estate,Composite
"Professional, scientific and technical services",Composite
Administrative services,Composite
Government; social security; defence; public order,Composite
Education,Composite
Human health and social work activities,Composite
"Arts, entertainment and recreation",Composite
Other services,Composite
