"EXIOBASE sector","SCAF sector"
"Cultivation of paddy rice",Agriculture
"Cultivation of wheat",Agriculture
"Cultivation of cereal grains nec",Agriculture
"Cultivation of vegetables, fruit, nuts",Agriculture
"Cultivation of oil seeds",Agriculture
"Cultivation of sugar cane, sugar beet",Agriculture
"Cultivation of plant-based fibers",Agriculture
"Cultivation of crops nec",Agriculture
"Cattle farming",Agriculture
"Pigs farming",Agriculture
"Poultry farming",Agriculture
"Meat animals nec",Agriculture
"Animal products nec",Agriculture
"Raw milk",Agriculture
"Wool, silk-worm cocoons",Agriculture
"Manure treatment (conventional), storage and land application",Agriculture
"Manure treatment (biogas), storage and land application",Agriculture
"Forestry, logging and related service activities (02)",Agriculture
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Agriculture
"Mining of coal and lignite; extraction of peat (10)",Coal
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",Oil
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",Gas
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",Gas
"Mining of uranium and thorium ores (12)",Mining
"Mining of iron ores",Mining
"Mining of copper ores and concentrates",Mining
"Mining of nickel ores and concentrates",Mining
"Mining of aluminium ores and concentrates",Mining
"Mining of precious metal ores and concentrates",Mining
"Mining of lead, zinc and tin ores and concentrates",Mining
"Mining of other non-ferrous metal ores and concentrates",Mining
"Quarrying of stone",Mining
"Quarrying of sand and clay",Mining
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Mining
"Processing of meat cattle",Agriculture
"Processing of meat pigs",Agriculture
"Processing of meat poultry",Agriculture
"Production of meat products nec",Agriculture
"Processing vegetable oils and fats",Agriculture
"Processing of dairy products",Agriculture
"Processed rice",Agriculture
"Sugar refining",Agriculture
"Processing of Food products nec",Agriculture
"Manufacture of beverages",Agriculture
"Manufacture of fish products",Agriculture
"Manufacture of tobacco products (16)",Agriculture
"Manufacture of textiles (17)",Industry
"Manufacture of wearing apparel; dressing and dyeing of fur (18)",Industry
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Industry
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Industry
"Re-processing of secondary wood material into new wood material",Industry
"Pulp",Industry
"Re-processing of secondary paper into new pulp",Industry
"Paper",Industry
"Publishing, printing and reproduction of recorded media (22)",Industry
"Manufacture of coke oven products",ET
"Petroleum Refinery",ET
"Processing of nuclear fuel",ET
"Plastics, basic",Industry
"Re-processing of secondary plastic into new plastic",Industry
"N-fertiliser",Industry
"P- and other fertiliser",Industry
"Chemicals nec",Industry
"Manufacture of rubber and plastic products (25)",Industry
"Manufacture of glass and glass products",Industry
"Re-processing of secondary glass into new glass",Industry
"Manufacture of ceramic goods",Industry
"Manufacture of bricks, tiles and construction products, in baked clay",Industry
"Manufacture of cement, lime and plaster",Industry
"Re-processing of ash into clinker",Industry
"Manufacture of other non-metallic mineral products n.e.c.",Industry
"Manufacture of basic iron and steel and of ferro-alloys and first products thereof",Industry
"Re-processing of secondary steel into new steel",Industry
"Precious metals production",Industry
"Re-processing of secondary preciuos metals into new preciuos metals",Industry
"Aluminium production",Industry
"Re-processing of secondary aluminium into new aluminium",Industry
"Lead, zinc and tin production",Industry
"Re-processing of secondary lead into new lead, zinc and tin",Industry
"Copper production",Industry
"Re-processing of secondary copper into new copper",Industry
"Other non-ferrous metal production",Industry
"Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",Industry
"Casting of metals",Industry
"Manufacture of fabricated metal products, except machinery and equipment (28)",Industry
